token	ja	zh	ko	note
Kasantabri	カサンタブリ	卡桑塔布里	카산타브리	by rule
Kaschtiliasch	カスクティリアスク	卡斯克蒂利阿斯克	카스티리아스	by rule
Kasep	カセプ	卡塞普	카세프	by rule
Kasidi	カシディ	卡西迪	카시디	by rule
Kasimir	カジミール	卡西米尔	카시미르	attested on Wikidata (ja 6x)
Kasinah	カシナ	卡西纳	카시나흐	by rule
Kasinem	カシネム	卡西内姆	카시넴	by rule
Kasmaya	カスマヤ	卡斯马雅	카스마야	by rule
Kaspar	カスパー	卡斯帕	카스파르	attested on Wikidata (ja 9x, zh 4x)
Kaspari	カスパリ	卡斯帕里	카스파리	by rule
Kasper	カスパー	卡斯佩尔	카스페르	attested on Wikidata (ja 4x, zh 0x)
Kastman	カストマン	卡斯特曼	카스트만	by rule
Katakalon	カタカロン	卡塔卡隆	카타카론	by rule
Katarina	カタリーナ	卡塔里纳	카타리나	attested on Wikidata (ja 2x)
Katarinus	カタリヌス	卡塔里努斯	카타리누스	by rule
Katchen	カトケン	卡特肯	카트첸	by rule
Katey	ケイティ	卡特伊	카테이	attested on Wikidata (ja 2x, zh 0x)
Katharina	カタリーナ	卡塔琳娜	카타리나	attested on Wikidata (ja 9x, zh 3x)
Kathinka	カティンカ	卡廷卡	카틴카	by rule
Kathleen	キャスリーン	凯瑟琳	카트린	attested on Wikidata (ja 29x, zh 8x)
Kathryn	キャスリン	凯瑟琳	카트린	attested on Wikidata (ja 10x, zh 2x)
Kato	カト	卡托	카토	by rule
Katralen	カトラレン	卡特拉伦	카트라렌	by rule
Katriel	カトリエル	卡特里埃尔	카트리엘	by rule
Katrin	カトリン	卡特林	카트린	by rule
Katrina	カトリーナ	卡特里纳	카트리나	attested on Wikidata (ja 3x)
Katrine	カトリネ	卡特里内	카트리네	by rule
Katsel	カトセル	卡特塞尔	카첼	by rule
Katsui	カトスイ	卡特苏伊	카취	by rule
Katthavn	カタヴン	卡塔夫恩	카탑느	by rule
Katz	カッツ	卡茨	카트즈	attested on Wikidata (ja 9x, zh 6x)
Katz-goehr	カトズゴエル	卡特兹戈埃尔	카트즈괴흐르	by rule
Katzenberg	カトゼンベルグ	卡特曾贝尔格	카트젠베르그	by rule
Katzenelenbogen	カトゼネレンボゲン	卡特泽内伦博根	카트제네렌보겐	by rule
Katzenellenpogen	カトゼネレンポゲン	卡特泽内伦波根	카트제넬렌포겐	by rule
Katzenelsohn	カトゼネルソン	卡特泽内尔索恩	카트제넬소흐느	by rule
Katzenstein	カトゼンステイン	卡特曾斯特因	카트젠스테인	by rule
Kauders	カウデルス	卡乌德尔斯	카우데르스	by rule
Kauffman	カウフマン	卡乌夫曼	카우프만	by rule
Kaufmann	カウフマン	考夫曼	카우프만느	attested on Wikidata (ja 9x, zh 6x)
Kauhanen	カウハネン	卡乌哈嫩	카우하넨	by rule
Kauko	カウコ	卡乌科	카우코	by rule
Kaum	カウム	卡乌姆	카움	by rule
Kaun	カウン	卡温	카운	by rule
Kaushik	カウスヒク	卡乌斯希克	카우시크	by rule
Kautsar	カウトサル	卡乌特萨尔	카우차르	by rule
Kavadh	カヴァド	卡瓦德	카바드흐	by rule
Kawali	カヴァリ	卡瓦利	카와리	by rule
Kawatang	カヴァタング	卡瓦坦	카와탕	by rule
Kawiya	カヴィヤ	卡维雅	카위야	by rule
Kay	ケイ	凯	카이	attested on Wikidata (ja 33x, zh 8x)
Kaya	カヤ	卡雅	카야	by rule
Kaykhusraw	カイクフスラヴ	卡伊克胡斯拉夫	카이쿠스라우	by rule
Kaz-Adler	カズアドレル	卡兹阿德莱尔	카자드레르	by rule
Kdr	クドル	克德尔	크드르	by rule
Ke	柯	凯	케	attested on Wikidata (ja 2x, zh 0x)
Kearney	カーニー	凯阿尔内伊	케아르네이	attested on Wikidata (ja 2x, zh 0x)
Keat	ケアト	凯阿特	케아트	by rule
Kebede	ケベデ	凯贝德	케베데	by rule
Kebedesh	ケベデス	凯贝德斯	케베데스	by rule
Kebedom	ケベドム	凯贝多姆	케베돔	by rule
Kebo	ケボ	凯博	케보	by rule
Kecil	ケシル	凯西尔	케킬	by rule
Keckman	ケクマン	凯克曼	케크만	by rule
Kecko	ケコ	凯科	케코	by rule
Kecko-Sund	ケコスンド	凯科孙德	케코순드	by rule
Kedao	ケダオ	凯达奥	케다오	by rule
Kedar	ケダル	凯达尔	케다르	by rule
Kediri	ケディリ	凯迪里	케디리	by rule
Kedu	ケド	凯杜	케두	by rule
Kedua	ケドア	凯杜阿	케돠	by rule
Kee	ケエ	凯埃	키	by rule
Keen	キーン	基恩	킨	attested on Wikidata (ja 6x, zh 4x)
Kei	桂	Kei	케이	attested on Wikidata (ja 2x, zh 4x)
Keidanial	ケイダニアル	凯伊达尼阿尔	케이다니알	by rule
Keijiro	ケイイロ	凯伊伊罗	케이지로	by rule
Keith	キース	基思	케이트	attested on Wikidata (ja 48x, zh 5x)
KEJAWAN	ケヤヴァン	凯雅万	케자와느	by rule
Kejawan	ケヤヴァン	凯雅万	케자와느	by rule
Kejawen	ケヤヴェン	凯雅文	케자웨느	by rule
Kelda	ケルダ	凯尔达	켈다	by rule
Kelleher	ケレヘル	凯莱赫尔	켈레헤르	by rule
Kellie	ケリー	凯利埃	켈리에	attested on Wikidata (ja 3x, zh 0x)
Kelly	ケリー	凯利	켈리	attested on Wikidata (ja 64x, zh 15x)
Kelo	ケロ	凯洛	케로	by rule
Kelpo	ケルポ	凯尔波	켈포	by rule
Kelu	ケル	凯卢	케루	by rule
Kelvin	ケルビン	凯尔文	켈빈	attested on Wikidata (ja 2x, zh 0x)
Kemeys	ケメイス	凯梅伊斯	케메이스	by rule
Kemp	ケンプ	肯普	켐프	attested on Wikidata (ja 12x, zh 4x)
Kempe	ケムペ	凯姆佩	켐페	by rule
Kemsley	ケムスレイ	凯姆斯莱伊	켐스레이	by rule
Ken	ケン	肯	켄	by rule
Kenari	ケナリ	凯纳里	케나리	by rule
Kenceng	ケンセング	肯森	켄켕	by rule
Keng	ケング	肯	켕	by rule
Kenicia	ケニシア	凯尼西阿	케니키아	by rule
Kenicius	ケニシウス	凯尼西乌斯	케니큐스	by rule
Kenjiro	ケンイロ	肯伊罗	케니로	by rule
Kenner	ケナー	凯内尔	켄네르	attested on Wikidata (ja 2x, zh 0x)
Kenneth	ケネス	肯尼思	켄네트	attested on Wikidata (ja 49x, zh 13x)
Kenzelia	ケンゼリア	肯泽利阿	켄제리아	by rule
Keong	ケオング	凯翁	케옹	by rule
Kerawang	ケラヴァング	凯拉万	케라와으	by rule
Kereit	ケレイト	凯雷伊特	케레이트	by rule
Kerman	ケルマン	凯尔曼	케르만	by rule
Kerstin	カースティン	凯尔斯廷	케르스틴	attested on Wikidata (ja 2x)
KERTABHUMI	ケルタブフミ	凯尔塔布胡米	케르탑후미	by rule
Kertabumi	ケルタブミ	凯尔塔布米	케르타부미	by rule
Kertadiningrat	ケルタディニングラト	凯尔塔迪宁拉特	케르타디닝라트	by rule
Kertadipradja	ケルタディプラドヤ	凯尔塔迪普拉德雅	케르타디프라자	by rule
Kertadipraja	ケルタディプラヤ	凯尔塔迪普拉雅	케르타디프라자	by rule
Kertanata	ケルタナタ	凯尔塔纳塔	케르타나타	by rule
Kertas	ケルタス	凯尔塔斯	케르타스	by rule
Kertawijaya	ケルタヴィヤヤ	凯尔塔维雅雅	케르타위자야	by rule
Kertayuda	ケルタユダ	凯尔塔尤达	케르타유다	by rule
Kertodiredjo	ケルトディレドヨ	凯尔托迪雷德约	케르토디레조	by rule
Kertodirjo	ケルトディルヨ	凯尔托迪尔约	케르토디르조	by rule
Kertomenggolo	ケルトメングゴロ	凯尔托门戈洛	케르토메오로	by rule
Kertosuro	ケルトスロ	凯尔托苏罗	케르토수로	by rule
Kertowijoyo	ケルトヴィヨヨ	凯尔托维约约	케르토위조요	by rule
Kertowongso	ケルトヴォングソ	凯尔托翁索	케르토워으소	by rule
Kesari	ケサリ	凯萨里	케사리	by rule
Kestutis	ケストティス	凯斯图蒂斯	케스투티스	by rule
Kesumo	ケスモ	凯苏莫	케수모	by rule
Ketil	ケティル	凯蒂尔	케틸	by rule
Ketilbjarnarson	ケティルブヤルナルソン	凯蒂尔布雅尔纳尔松	케틸브자르나르손	composed by rule: Ketilbjarnar + -son
Ketill	ケティル	凯蒂尔	케틸르	by rule
Ketilsdóttir	ケティルスドティル	凯蒂尔斯多蒂尔	케틸스도티르	by rule
Ketilsson	ケティルソン	凯蒂尔松	케틸손	composed by rule: Ketil + -sson
Ketilurson	ケティルルソン	凯蒂卢尔松	케티루르손	composed by rule: Ketilur + -son
Ketip	ケティプ	凯蒂普	케티프	by rule
Ketola	ケトラ	凯托拉	케토라	by rule
Kettilsson	ケティルソン	凯蒂尔松	케틸손	composed by rule: Kettil + -sson
Ketu	ケト	凯图	케투	by rule
Keturunan	ケトルナン	凯图鲁南	케투루난	by rule
Kevin	ケヴィン	凯文	케빈	by rule
Key	キー	基	케이	attested on Wikidata (ja 15x, zh 7x)
Key-Åberg	ケイオーベルグ	凯伊奥贝尔格	케이오베르그	by rule
Keyi	ケイ	凯伊	케이이	by rule
Kezar	ケザル	凯扎尔	케자르	by rule
KG	クグ	克格	크그	by rule
Kg	クグ	克格	크그	by rule
KGP	クグプ	克格普	크그프	by rule
KGPA	クグパ	克格帕	크그파	by rule
KGPAA	クグポー	克格波	크그파아	by rule
KGPAAP	クグポープ	克格波普	크그파아프	by rule
KGPAH	クグパ	克格帕	크그파흐	by rule
KGPH	クグプ	克格普	크그프	by rule
KH	ク	克	크	by rule
KH.	ク	克	크	by rule
Khaba	クハバ	克哈巴	카바	by rule
Khadijah	クハディヤ	克哈迪雅	카디자흐	by rule
Khaidir	クハイディル	克哈伊迪尔	카이디르	by rule
Khaim	クハイム	克哈伊姆	카임	by rule
Khalifah	クハリファ	克哈利法	카리파흐	by rule
Khamsi	クハムシ	克哈姆西	캄시	by rule
Khan	ハーン	汗	칸	attested on Wikidata (ja 27x, zh 7x)
khan	クハン	克汉	칸	by rule
Khas	クハス	克哈斯	카스	by rule
Khaswt	クハスヴト	克哈斯夫特	카스우트	by rule
Khatijah	クハティヤ	克哈蒂雅	카티자흐	by rule
Khayat	クハヤト	克哈雅特	카야트	by rule
Khayri	クハイリ	克哈伊里	카이리	by rule
Khenenre	クヘネンレ	克赫嫩雷	케넨레	by rule
Kheng	クヘング	克亨	켕	by rule
Khitan	クヒタン	克希坦	키탄	by rule
Khnum-Khufu	クヌムクフフ	克努姆克胡富	크눔쿠푸	by rule
Khodja	クホドヤ	克霍德雅	코자	by rule
KHONG	クホング	克洪	콩	by rule
Khong	クホング	克洪	콩	by rule
KHOO	クホオ	克霍奥	쿠	by rule
Khoo	クー	克霍奥	쿠	attested on Wikidata (ja 2x, zh 0x)
Khoon	クホオン	克霍翁	쿤	by rule
Khosroid	クホスロイド	克霍斯罗伊德	코스로이드	by rule
Khosrow	ホスロー	克霍斯罗夫	코스로우	attested on Wikidata (ja 2x, zh 0x)
Khours	クホウルス	克霍乌尔斯	쿠르스	by rule
Khristina	クリスティナ	克里斯蒂纳	크리스티나	by rule
Khurshid	クフルスヒド	克胡尔斯希德	쿠르시드	by rule
Khusraw	クフスラヴ	克胡斯拉夫	쿠스라우	by rule
Ki	キ	基	키	by rule
Kiai	キアイ	基艾	키아이	by rule
Kian	キアン	基安	키안	by rule
Kiayi	キアイ	基阿伊	키아이이	by rule
Kibrom	キブロム	基布罗姆	키브롬	by rule
Kid	キッド	基德	키드	attested on Wikidata (ja 5x, zh 0x)
Kidan	キダン	基丹	키단	by rule
Kidane	キダネ	基达内	키다네	by rule
Kidane-Mariam	キダネマリアム	基达内马里阿姆	키다네마리암	by rule
Kidanemariam	キダネマリアム	基达内马里阿姆	키다네마리암	by rule
KIDANG	キダング	基丹	키당	by rule
Kidang	キダング	基丹	키당	by rule
Kiehl	キエル	基埃尔	키에흐르	by rule
Kield	キエルド	基埃尔德	키엘드	by rule
Kiellman	キエルマン	基埃尔曼	키엘르만	by rule
Kiem	キエム	基埃姆	키엠	by rule
Kierstine	キエルスティネ	基埃尔斯蒂内	키에르스티네	by rule
Kiessling	キエスリング	基埃斯林	키에스링	by rule
Kiev	キエヴ	基埃夫	키엡	by rule
Kifle	キフレ	基夫莱	키프레	by rule
Kihlstrand	キルストランド	基尔斯特兰德	키흐르스트란드	by rule
Kiievi	キイエヴィ	基伊埃维	키이에비	by rule
Kijam	キヤム	基雅姆	키잠	by rule
Kijl	キイル	基伊尔	키즈르	by rule
Kikebusch	キケブスク	基凯布斯克	키케부스	by rule
kikhosta	キクホスタ	基克霍斯塔	키코스타	by rule
Kiki	キキ	基基	키키	by rule
Kilane	キラネ	基拉内	키라네	by rule
Kilde	キルデ	基尔德	킬데	by rule
Kilene	キレネ	基莱内	키레네	by rule
Kilheifer	キルヘイフェル	基尔赫伊费尔	킬헤이페르	by rule
Killingland	キリングランド	基林兰德	킬링란드	by rule
Killis	キリス	基利斯	킬리스	by rule
Kilpatrick	キルパトリック	基尔帕特里克	킬파트리크	attested on Wikidata (ja 2x, zh 0x)
Kim	キム	金	킴	attested on Wikidata (ja 31x, zh 14x)
Kimberly	キンバリー	基姆贝尔利	킴베르리	attested on Wikidata (ja 5x, zh 0x)
Kindem	キンデム	金德姆	킨뎀	by rule
King	キング	金	킹	by rule
king	キング	金	킹	by rule
KING	キング	金	킹	by rule
Kingsbury	キングズベリー	金斯布里	킹스부리	attested on Wikidata (ja 4x, zh 0x)
Kingsland	キングスランド	金斯兰德	킹스란드	by rule
Kinhem	キンヘム	金赫姆	킨헴	by rule
Kinsey	キンゼイ	金塞伊	킨세이	attested on Wikidata (ja 2x, zh 0x)
Kiol	キオル	基奥尔	키올	by rule
Kirby	カービー	科比	키르비	attested on Wikidata (ja 11x, zh 2x)
Kiros	キロス	基罗斯	키로스	by rule
kiros	キロス	基罗斯	키로스	by rule
Kirschbaum	キルスクバウム	基尔斯克巴乌姆	키르스바움	by rule
Kirsebom	キルセボム	基尔塞博姆	키르세봄	by rule
Kirsten	キルステン	柯尔斯滕	키르스텐	attested on Wikidata (ja 5x, zh 2x)
Kirsti	キルスティ	基尔斯蒂	키르스티	by rule
Kirstine	シシュティーネ	谢什蒂内	키르스티네	
Kirt	キルト	基尔特	키르트	by rule
Kishna	キスナ	基斯纳	키스나	by rule
Kitashirakawanomiya	キタスヒラカヴァノミヤ	基塔斯希拉卡瓦诺米雅	키타시라카와노미야	by rule
Kitessa	キテサ	基特萨	키테사	by rule
Kittelson	キテルソン	基特尔松	키텔손	composed by rule: Kittel + -son
Kittilsdatter	キティルスダッテル	基蒂尔斯达特	키틸스다테르	composed by rule: Kittils + -datter
Kiusala	キウサラ	基乌萨拉	큐사라	by rule
Kiyai	キヤイ	基雅伊	키야이	by rule
Kiyochika's	キヨキカス	基约基卡斯	키요치카스	by rule
Kiyohara	キヨハラ	基约哈拉	키요하라	by rule
Kiyotaka	キヨタカ	基约塔卡	키요타카	by rule
Kiörning	キオルニング	基奥尔宁	키외르닝	by rule
Kj	クイ	克伊	크	by rule
Kjai	ヒャイ	希伊	카이	by rule
Kjedeland	ヒェデランド	谢德兰德	케데란드	by rule
Kjeldsen	ヒェルドセン	谢尔德森	켈드센	composed by rule: Kjeld + -sen
Kjell	シェル	谢尔	켈르	attested on Wikidata (ja 2x, zh 2x)
Kjellaug	ヒェラウグ	谢拉乌格	켈라욱	by rule
Kjellerup	ヒェレルプ	谢莱鲁普	켈레루프	by rule
Kjellgren	ヒェルグレン	谢尔格伦	켈르그렌	by rule
Kjellsen	ヒェルセン	谢尔森	켈르센	composed: Kjell + -sen
Kjellson	ヒェルソン	谢尔松	켈르손	composed: Kjell + -son
Kjelsen	ヒェルセン	谢尔森	켈센	composed by rule: Kjel + -sen
Kjelstrup	ヒェルストルプ	谢尔斯特鲁普	켈스트루프	by rule
Kjeran	ヒェラン	谢兰	케란	by rule
Kjeranson	ヒェランソン	谢兰松	케란손	composed by rule: Kjeran + -son
Kjersti	ヒャシュティ	谢尔斯蒂	케르스티	attested on Wikidata (ja 2x, zh 0x)
Kjerstin	ヒェルスティン	谢尔斯廷	케르스틴	by rule
Kjetil	チェーティル	谢蒂尔	케틸	attested on Wikidata (ja 2x)
Kjetilsdtr.	ヒェティルスダッテル	谢蒂尔斯达特	케틸스드트르	composed by rule: Kjetils + -dtr.
Kjetilsen	ヒェティルセン	谢蒂尔森	케틸센	composed by rule: Kjetil + -sen
Kjetilson	ヒェティルソン	谢蒂尔松	케틸손	composed by rule: Kjetil + -son
Kjetilsson	チェーティルソン	谢蒂尔松	케틸손	composed: Kjetil + -sson
Kjetilstad	ヒェティルスタド	谢蒂尔斯塔德	케틸스타드	by rule
Kjeve	ヒェヴェ	谢韦	케베	by rule
Kjorsvik	ヒョルスヴィク	肖尔斯维克	코르스비크	by rule
Kjosavik	ヒョサヴィク	肖萨维克	코사비크	by rule
Kjærsti	ヒェルスティ	谢尔斯蒂	캐르스티	by rule
Kjærulf	ヒェルルフ	谢鲁尔夫	캐룰프	by rule
Kjølevik	ヒョレヴィク	肖莱维克	쾨레비크	by rule
Kjølstad	ヒョルスタド	肖尔斯塔德	쾰스타드	by rule
Kjønaas	ヒョノース	肖诺斯	쾨나아스	by rule
Klara	クララ	克拉拉	크라라	by rule
Klaris	クラリス	克拉里斯	크라리스	by rule
Klas	クラス	克拉斯	크라스	by rule
Klasson	クラソン	克拉松	크라손	composed by rule: Kla + -sson
Klaudios	クラウディオス	克拉乌迪奥斯	크라우디오스	by rule
Klaus	クラウス	克劳斯	크라우스	attested on Wikidata (ja 23x, zh 6x)
Klausdtr.	クラウスダッテル	克拉乌斯达特	크라우스드트르	composed by rule: Klaus + -dtr.
Klausen	クラウセン	克拉乌森	크라우센	composed by rule: Klau + -sen
Klausson	クラウソン	克拉乌松	크라우손	composed by rule: Klau + -sson
Klavestad	クラヴェスタド	克拉韦斯塔德	크라베스타드	by rule
Kleitosthenes	クレイトステネス	克莱伊托斯特内斯	크레이토스테네스	by rule
Kleivås	クレイヴォース	克莱伊沃斯	크레이보스	by rule
Klemsdal	クレムスダル	克莱姆斯达尔	크렘스달	by rule
Kleng	クレング	克伦	크렝	by rule
Kleodaeus	クレオダエウス	克莱奥达厄斯	크레오대우스	by rule
Klepp	クレプ	克莱普	크레프	by rule
Kleppa	クレパ	克莱帕	크레파	by rule
Kleppe	クレペ	克莱佩	크레페	by rule
Kleppelid	クレペリド	克莱佩利德	크레페리드	by rule
Kleve	クレヴェ	克莱韦	크레베	by rule
Klingenstierna	クリンゲンスティエルナ	克林根斯蒂埃尔纳	크리엔스티에르나	by rule
Klingspor	クリングスポル	克林斯波尔	크링스포르	by rule
Klipper	クリペル	克利佩尔	크리페르	by rule
Klipping	クリピング	克利平	크리핑	by rule
Kloizner	クロイズネル	克洛伊兹内尔	크로이즈네르	by rule
Klonbas	クロンバス	克隆巴斯	크론바스	by rule
Klonimir	クロニミル	克洛尼米尔	크로니미르	by rule
Klonymos	クロニモス	克洛尼莫斯	크로니모스	by rule
KLOTZ	クロトズ	克洛特兹	크로트즈	by rule
Klotz	クロトズ	克洛特兹	크로트즈	by rule
Klow	クロヴ	克洛夫	크로우	by rule
Kluge	クルーゲ	克卢盖	크루게	attested on Wikidata (ja 5x)
Klungtveit	クルングトヴェイト	克伦特韦伊特	크룽트베이트	by rule
Klädskrivare	クレドスクリヴァレ	克莱德斯克里瓦雷	크레드스크리바레	by rule
Kløgetvedt	クロゲトヴェドト	克洛盖特韦德特	크뢰게트베드트	by rule
Knagge	クナゲ	克纳盖	크나게	by rule
Knardrup	クナルドルプ	克纳尔德鲁普	크나르드루프	by rule
Knendel	クネンデル	克嫩德尔	크넨델	by rule
Kneudel	クネウデル	克内乌德尔	크뉴델	by rule
Knight	ナイト	奈特	크닉트	attested on Wikidata (ja 25x, zh 6x)
Knj	クンイ	克恩伊	크느	by rule
Knobe	クノベ	克诺贝	크노베	by rule
Knoll	クノル	克诺尔	크놀르	by rule
Knoph	クノプ	克诺普	크노프	by rule
Knott	クノト	克诺特	크노트	by rule
Knud	クヌート	克努德	크누드	attested on Wikidata (ja 6x)
Knudsdatter	クヌドスダッテル	克努德斯达特	크누드스다테르	composed by rule: Knuds + -datter
Knudsen	クヌードセン	克努森	크누드센	attested on Wikidata (ja 4x, zh 5x)
Knudson	クヌドソン	克努德松	크누드손	composed by rule: Knud + -son
Knudsson	クヌドソン	克努德松	크누드손	composed by rule: Knud + -sson
Knut	クヌート	克努特	크누트	
Knut-Viggo	クヌトヴィゴ	克努特维戈	크누트비고	by rule
Knute	クヌート	克努特	크누테	attested on Wikidata (ja 2x)
Knutesdatter	クヌテスダッテル	克努特斯达特	크누테스다테르	composed by rule: Knutes + -datter
Knutsd	クヌトスド	克努特斯德	크누츠드	by rule
Knutsdatter	クヌトスダッテル	克努特斯达特	크누츠다테르	composed by rule: Knuts + -datter
Knutsdotter	クヌトスドッテル	克努特斯多特	크누츠도테르	composed by rule: Knuts + -dotter
Knutsdtr.	クヌトスダッテル	克努特斯达特	크누츠드트르	composed by rule: Knuts + -dtr.
Knutsen	クヌートセン	克努特森	크누첸	composed: Knut + -sen
Knutson	クヌートソン	克努特松	크누촌	composed: Knut + -son
Knutsson	クヌートソン	克努特松	크누촌	patronymic
Knös	クノス	克诺斯	크뇌스	by rule
Koberg	コベルグ	科贝尔格	코베르그	by rule
Kodja	コドヤ	科德雅	코자	by rule
Koenicius	コエニシウス	科埃尼西乌斯	쾨니큐스	by rule
Koening	コエニング	科埃宁	쾨닝	by rule
Koerdi	コエルディ	科埃尔迪	쾨르디	by rule
Koesno	コエスノ	科埃斯诺	쾨스노	by rule
Koesoema	コエソエマ	科埃索埃马	쾨쇠마	by rule
KOESOEMADILAGA	コエソエマディラガ	科埃索埃马迪拉加	쾨쇠마디라가	by rule
Koesoemadinata	コエソエマディナタ	科埃索埃马迪纳塔	쾨쇠마디나타	by rule
Koesoemadiningrat	コエソエマディニングラト	科埃索埃马迪宁拉特	쾨쇠마디닝라트	by rule
KOESOEMAH	コエソエマ	科埃索埃马	쾨쇠마흐	by rule
Koesoemah	コエソエマ	科埃索埃马	쾨쇠마흐	by rule
Koesoemahjoeda	コエソエマヨエダ	科埃索埃马永埃达	쾨쇠마회다	by rule
Koesoemajoeda	コエソエマヨエダ	科埃索埃马约埃达	쾨쇠마죄다	by rule
KOESOEMANAGARA	コエソエマナガラ	科埃索埃马纳加拉	쾨쇠마나가라	by rule
Koesoemanatabrata	コエソエマナタブラタ	科埃索埃马纳塔布拉塔	쾨쇠마나타브라타	by rule
Koesoemo	コエソエモ	科埃索埃莫	쾨쇠모	by rule
Koesoemodilogo	コエソエモディロゴ	科埃索埃莫迪洛戈	쾨쇠모디로고	by rule
KOESOEMONOTO	コエソエモノト	科埃索埃莫诺托	쾨쇠모노토	by rule
Koesoemowigoeno	コエソエモヴィゴエノ	科埃索埃莫维戈埃诺	쾨쇠모위괴노	by rule
KOH	コ	科	코흐	by rule
Kohen	コヘン	科亨	코헨	by rule
Kohre	コレ	科雷	코흐레	by rule
Koivumäki	コイヴメキ	科伊武梅基	코이부메키	by rule
Koja	コヤ	科雅	코자	by rule
Kok	コック	科克	코크	attested on Wikidata (ja 2x, zh 0x)
Kol	コル	科尔	콜	by rule
Kolbein	コルベイン	科尔贝因	콜베인	by rule
Kolbeinshaug	コルベインスハウグ	科尔贝因斯哈乌格	콜베인사욱	by rule
Kolbeinsson	コルベインソン	科尔贝伊恩松	콜베인손	composed: Kolbein + -sson
Kolbjørn	コルブヨルン	科尔布约尔恩	콜브죄르느	by rule
Kold	コル	科尔德	콜드	
Kolin	コリン	科林	코린	by rule
Koll	コル	科尔	콜르	by rule
kollur	コルル	科卢尔	콜루르	by rule
Kolmodin	コルモディン	科尔莫丁	콜모딘	by rule
Kolnes	コルネス	科尔内斯	콜네스	by rule
Kolnæs	コルネス	科尔内斯	콜내스	by rule
Koloboff	コロボフ	科洛博夫	코로보프	by rule
Kolopaking	コロパキング	科洛帕金	코로파킹	by rule
Kolshus	コルスフス	科尔斯胡斯	콜수스	by rule
Kolstad	コルスタッド	科尔斯塔德	콜스타드	attested on Wikidata (ja 2x, zh 0x)
Kolstø	コルスト	科尔斯托	콜스퇴	by rule
Kolvin	コルヴィン	科尔文	콜빈	by rule
Komala	コマラ	科马拉	코마라	by rule
Komara	コマラ	科马拉	코마라	by rule
Komaruddin	コマルディン	科马鲁丁	코마루딘	by rule
Komdrup	コムドルプ	科姆德鲁普	콤드루프	by rule
Komenos	コメノス	科梅诺斯	코메노스	by rule
Kommedal	コメダル	科梅达尔	콤메달	by rule
Komnena	コムネナ	科姆内纳	콤네나	by rule
Komnene	コムネネ	科穆宁娜	콤네네	attested on Wikidata (ja 0x, zh 6x)
Komnenos	コムネノス	科穆宁	콤네노스	attested on Wikidata (ja 20x, zh 15x)
Komnina	コムニナ	科姆尼纳	콤니나	by rule
Komp	コムプ	科姆普	콤프	by rule
kone	コネ	科内	코네	by rule
Kong	コング	孔	콩	by rule
Konge	コンゲ	孔盖	코에	by rule
KONGE	コンゲ	孔盖	코에	by rule
konge	コンゲ	孔盖	코에	by rule
kongsfostre	コングスフォストレ	孔斯福斯特雷	콩스포스트레	by rule
Kongshavn	コングスハヴン	孔斯哈夫恩	콩삽느	by rule
Konoe	コノエ	科诺埃	코뇌	by rule
Konrad	コンラート	康拉德	콘라드	attested on Wikidata (ja 15x, zh 3x)
Konradiner	コンラディネル	孔拉迪内尔	콘라디네르	by rule
Konradson	コンラドソン	孔拉德松	콘라드손	composed by rule: Konrad + -son
Konstanse	コンスタンセ	孔斯坦塞	콘스탄세	by rule
Konstantin	コンスタンチン	康斯坦丁	콘스탄틴	attested on Wikidata (ja 29x, zh 8x)
Konstantinos	コンスタンティノス	康斯坦丁	콘스탄티노스	attested on Wikidata (ja 5x, zh 2x)
Kontulainen	コントライネン	孔图拉伊嫩	콘투라이넨	by rule
Konáll	コナル	科纳尔	코날르	by rule
Koon	コオン	科翁	쿤	by rule
Koos	コオス	科奥斯	쿠스	by rule
Kooswinarsinindyah	コオスヴィナルシニンディア	科奥斯维纳尔西宁迪阿	쿠스위나르시닌댜흐	by rule
Kooswinarsiningrum	コオスヴィナルシニングルム	科奥斯维纳尔西宁鲁姆	쿠스위나르시닝룸	by rule
Koppel	コッペル	科佩尔	코펠	attested on Wikidata (ja 8x, zh 2x)
Korab	コラブ	科拉布	코랍	by rule
Korkeamäki	コルケアメキ	科尔凯阿梅基	코르케아메키	by rule
Kormo	コルモ	科尔莫	코르모	by rule
Kornel	コルネル	科尔内尔	코르넬	by rule
Kornelius	コルネリウス	科尔内利乌斯	코르네류스	by rule
Korneliussen	コルネリウセン	科尔内利乌森	코르네류센	composed by rule: Korneliu + -ssen
Korneliusson	コルネリウソン	科尔内利乌松	코르네류손	composed by rule: Korneliu + -sson
Korpela	コルペラ	科尔佩拉	코르페라	by rule
Korpi	コルピ	科尔皮	코르피	by rule
Korsridder	コルスリデル	科尔斯里德尔	코르스리데르	by rule
Korsør	コルソル	科尔索尔	코르쇠르	by rule
Kosasih	コサシ	科萨西	코사시흐	by rule
Koshland	コスランド	科斯兰德	코스란드	by rule
Koskull	コスクル	科斯库尔	코스쿨르	by rule
Kostamo	コスタモ	科斯塔莫	코스타모	by rule
Kostrowicki	コストロヴィキ	科斯特罗维基	코스트로위키	by rule
Kostrowicz	コストロヴィクズ	科斯特罗维克兹	코스트로위츠	by rule
Kothen	コテン	科滕	코텐	by rule
Kotjoh	コトヨ	科特约	코초흐	by rule
Kotlowski	コトロヴスキ	科特洛夫斯基	코트로우스키	by rule
Koto	コト	科托	코토	by rule
Kotzman	コトズマン	科特兹曼	코트즈만	by rule
